Repo,Author,Star,Fork,Watch,Creation,Last Update,Language,Topic,Family,Platform
malSploitBase,misterch0c,482,194,54,2016-01-03,2021-11-25,Python,,"ransomware, trojan",
malware,gbrindisi,451,272,56,2016-03-22,2021-12-12,C,,botnet,"android, linux, windows"
DangerousZone,malwares,163,146,21,2016-03-26,2021-11-15,,,,
android-malware,ashishb,755,306,100,2016-04-28,2021-12-14,Shell,,,android
malware-sample-library,mstfknn,388,116,39,2018-10-24,2021-12-15,C++,"malware-samples, malware, malware-analysis, apt28, apt29, apt34, apt37, aptc23",trojan,
fireELF,rek7,497,95,25,2019-04-17,2021-12-10,Python,"python, security, security-tools, malware, malware-development, linux, pentesting, redteam, exploitation, exploit-development, exploitation-framework, framework",,linux
PracticalMalwareAnalysis-Labs,mikesiko,621,237,41,2017-04-26,2021-12-13,,,,windows
malware_analysis,hasherezade,424,115,56,2015-10-30,2021-11-19,Python,"malware, malware-analysis, trickbot",,
theZoo,ytisf,7844,2007,807,2014-01-09,2021-12-15,Python,"malware, malware-analysis, malware-samples, malware-research, thezoo, malwareanalysis","virus, worm",
TeslaCrack,Googulator,173,40,43,2015-12-15,2021-10-27,Python,,ransomware,windows
TheFatRat,Screetsec,5937,1819,481,2016-07-24,2021-12-15,C,"thefatrat, bypass, linux, autorun, bypass-av, antivirus, hacking, dracos, backdoor, metasploit-framework, malware, kali-linux, msfvenom, bypassantivirus, rat, remote, accessibility, trojan, remote-access, tool","backdoor, trojan, virus","android, linux, mac, windows"
Android-Malwares,hxp2k6,44,84,7,2017-07-24,2021-11-27,,,,android
demos,hasherezade,662,173,55,2016-08-19,2021-12-15,C,"malware, code-injection, dll-injection, runpe, process-hollowing",,windows
aamo,necst,102,47,16,2015-09-16,2021-09-07,Python,,,android
malware-indicators,citizenlab,214,57,52,2014-11-11,2021-12-09,YARA,"technical-indicators, malware-research, ioc",spyware,iphone
dnschef,iphelix,616,156,32,2013-12-03,2021-12-15,Python,,,"android, iphone, linux, windows"
Malware,znb,50,27,15,2012-10-15,2019-04-30,,"malware, deprecated, oldcrap, python",virus,windows
